Title="Input data for auralization"
Variables="Freq","Level"
##########################################
# retarded time	=      5.2021
# source time	=      0.1000
# speed of sound=    342.4376
# xpos	=  -1697.6000
# ypos	=      0.1000
# alt	=    414.4000
# xobs  =      0.0000
# yobs  =      0.0000
# zobs  =      1.2000
# phix  =     32.5427
# phiy  =      0.0000
# dist  =   1747.1634
# distxy=   1697.6000
# vel   =     86.0000
# n1    =     89.8520
##########################################
ZONE T="time=        5.20 airframe broadband" I=31 F=POINT
# source time	=      0.2000
# speed of sound=    342.4353
# xpos	=  -1686.9000
# ypos	=      0.1000
# alt	=    415.6000
# xobs  =      0.0000
# yobs  =      0.0000
# zobs  =      1.2000
# phix  =     32.5060
# phiy  =      0.0000
# dist  =   1737.0547
# distxy=   1686.9000
# vel   =     86.0000
# n1    =     89.8560
##########################################
ZONE T="time=        5.27 airframe broadband" I=31 F=POINT
     26.1620    100.8644
     32.7026    101.8335
     41.2052    102.8372
     52.3241    103.8747
     65.4051    104.8438
     82.4104    105.8475
    104.6482    106.8850
    130.8102    107.8541
    163.5128    108.8232
    209.2963    109.1576
    261.6204    109.2016
    327.0255    108.9364
    412.0521    108.1292
    523.2408    107.0917
    654.0510    106.1226
    824.1043    105.1189
   1046.4816    104.0814
   1308.1020    103.1123
   1635.1275    102.1432
   2092.9632    101.0711
   2616.2041    100.1020
   3270.2551     99.1329
   4120.5214     98.1292
   5232.4081     97.0917
   6540.5101     96.1226
   8241.0428     95.1189
  10464.8162     94.0814
  13081.0203     93.1123
  16351.2754     92.1432
  20929.6325     91.0711
  26162.0406     90.1020
ZONE T="time=        5.27 engine broadband (no buzzsaw)" I=31 F=POINT
     26.1620    116.5493
     32.7026    116.5493
     41.2052    116.5493
     52.3241    116.5493
     65.4051    116.5493
     82.4104    117.4892
    104.6482    118.2760
    130.8102    118.8339
    163.5128    119.2025
    209.2963    119.4484
    261.6204    119.4577
    327.0255    119.3511
    412.0521    119.0697
    523.2408    118.5350
    654.0510    117.9229
    824.1043    117.2973
   1046.4816    116.6664
   1308.1020    116.2252
   1635.1275    116.1717
   2092.9632    116.7320
   2616.2041    117.6839
   3270.2551    118.7832
   4120.5214    119.8589
   5232.4081    120.7519
   6540.5101    121.3014
   8241.0428    121.5432
  10464.8162    121.4233
  13081.0203    120.9669
  16351.2754    120.1718
  20929.6325    118.8927
  26162.0406    117.3770
ZONE T="time=        5.27 engine buzzsaw noise" I=31 F=POINT
     26.1620     89.0422
     32.7026     89.0422
     41.2052     89.0422
     52.3241     89.0422
     65.4051     89.0422
     82.4104     92.0925
    104.6482     95.2692
    130.8102     98.2698
    163.5128    101.3190
    209.2963    104.7762
    261.6204    108.0091
    327.0255    111.3809
    412.0521    115.0573
    523.2408    117.6335
    654.0510    121.4448
    824.1043    126.1786
   1046.4816    124.3370
   1308.1020    121.7421
   1635.1275    122.2138
   2092.9632    120.5286
   2616.2041    117.5194
   3270.2551    114.5456
   4120.5214    111.4901
   5232.4081    108.3488
   6540.5101    105.4244
   8241.0428    102.4020
  10464.8162     99.2822
  13081.0203     96.3706
  16351.2754     93.4606
  20929.6325     90.2424
  26162.0406     87.3340
ZONE T="time=        5.27  fan harmonics" I=5 F=POINT
   3524.8133    139.1247
   7049.6266    130.0020
  10574.4399    115.8392
  14099.2532    106.8392
  17624.0665     97.8392
##########################################
# retarded time	=      5.4433
# source time	=      0.4000
# speed of sound=    342.4329
# xpos	=  -1676.2000
# ypos	=      0.1000
# alt	=    416.9000
# xobs  =      0.0000
# yobs  =      0.0000
# zobs  =      1.2000
# phix  =     32.6326
# phiy  =      0.0000
# dist  =   1726.9780
# distxy=   1676.2000
# vel   =     86.0000
# n1    =     89.8603
##########################################
ZONE T="time=        5.44 airframe broadband" I=31 F=POINT
     26.1555    100.8598
     32.6944    101.8289
     41.1949    102.8326
     52.3110    103.8701
     65.3887    104.8392
     82.3898    105.8429
    104.6220    106.8804
    130.7775    107.8495
    163.4718    108.8186
    209.2439    109.1530
    261.5549    109.1970
    326.9436    108.9319
    411.9490    108.1247
    523.1098    107.0872
    653.8873    106.1181
    823.8980    105.1144
   1046.2196    104.0769
   1307.7746    103.1078
   1634.7182    102.1387
   2092.4393    101.0666
   2615.5491    100.0975
   3269.4364     99.1284
   4119.4899     98.1247
   5231.0982     97.0872
   6538.8728     96.1181
   8238.9797     95.1144
  10462.1965     94.0769
  13077.7456     93.1078
  16347.1820     92.1387
  20924.3930     91.0666
  26155.4912     90.0975
ZONE T="time=        5.44 engine broadband (no buzzsaw)" I=31 F=POINT
     26.1555    116.5535
     32.6944    116.5535
     41.1949    116.5535
     52.3110    116.5535
     65.3887    116.5535
     82.3898    117.4934
    104.6220    118.2803
    130.7775    118.8382
    163.4718    119.2070
    209.2439    119.4529
    261.5549    119.4623
    326.9436    119.3558
    411.9490    119.0744
    523.1098    118.5398
    653.8873    117.9277
    823.8980    117.3020
   1046.2196    116.6709
   1307.7746    116.2292
   1634.7182    116.1747
   2092.4393    116.7339
   2615.5491    117.6849
   3269.4364    118.7837
   4119.4899    119.8591
   5231.0982    120.7520
   6538.8728    121.3014
   8238.9797    121.5433
  10462.1965    121.4235
  13077.7456    120.9671
  16347.1820    120.1721
  20924.3930    118.8930
  26155.4912    117.3774
ZONE T="time=        5.44 engine buzzsaw noise" I=31 F=POINT
     26.1555     89.0823
     32.6944     89.0823
     41.1949     89.0823
     52.3110     89.0823
     65.3887     89.0823
     82.3898     92.1326
    104.6220     95.3091
    130.7775     98.3095
    163.4718    101.3584
    209.2439    104.8150
    261.5549    108.0474
    326.9436    111.4184
    411.9490    115.0938
    523.1098    117.6667
    653.8873    121.4758
    823.8980    126.2092
   1046.2196    124.3693
   1307.7746    121.7738
   1634.7182    122.2448
   2092.4393    120.5606
   2615.5491    117.5514
   3269.4364    114.5776
   4119.4899    111.5221
   5231.0982    108.3807
   6538.8728    105.4563
   8238.9797    102.4340
  10462.1965     99.3142
  13077.7456     96.4026
  16347.1820     93.4925
  20924.3930     90.2743
  26155.4912     87.3659
ZONE T="time=        5.44  fan harmonics" I=5 F=POINT
   3524.0993    139.1206
   7048.1987    130.0132
  10572.2980    115.8374
  14096.3973    106.8374
  17620.4967     97.8374
##########################################
# retarded time	=      5.5138
# source time	=      0.5000
# speed of sound=    342.4306
# xpos	=  -1665.5000
# ypos	=      0.1000
# alt	=    418.1000
# xobs  =      0.0000
# yobs  =      0.0000
# zobs  =      1.2000
# phix  =     32.9160
# phiy  =      0.0000
# dist  =   1716.8855
# distxy=   1665.5000
# vel   =     86.0000
# n1    =     89.8642
##########################################
ZONE T="time=        5.51 airframe broadband" I=31 F=POINT
     26.1406    100.8498
     32.6758    101.8189
     41.1715    102.8226
     52.2812    103.8601
     65.3516    104.8292
     82.3430    105.8329
    104.5625    106.8704
    130.7031    107.8395
    163.3789    108.8086
    209.1250    109.1430
    261.4062    109.1870
    326.7578    108.9218
    411.7148    108.1146
    522.8125    107.0771
    653.5156    106.1080
    823.4296    105.1043
   1045.6249    104.0668
   1307.0311    103.0977
   1633.7889    102.1286
   2091.2498    101.0565
   2614.0623    100.0874
   3267.5779     99.1183
   4117.1481     98.1146
   5228.1246     97.0771
   6535.1557     96.1080
   8234.2962     95.1043
  10456.2492     94.0668
  13070.3114     93.0977
  16337.8893     92.1286
  20912.4983     91.0565
  26140.6229     90.0874
ZONE T="time=        5.51 engine broadband (no buzzsaw)" I=31 F=POINT
     26.1406    116.5620
     32.6758    116.5620
     41.1715    116.5620
     52.2812    116.5620
     65.3516    116.5620
     82.3430    117.5019
    104.5625    118.2887
    130.7031    118.8467
    163.3789    119.2154
    209.1250    119.4613
    261.4062    119.4707
    326.7578    119.3641
    411.7148    119.0828
    522.8125    118.5481
    653.5156    117.9359
    823.4296    117.3101
   1045.6249    116.6786
   1307.0311    116.2361
   1633.7889    116.1804
   2091.2498    116.7380
   2614.0623    117.6879
   3267.5779    118.7859
   4117.1481    119.8608
   5228.1246    120.7535
   6535.1557    121.3029
   8234.2962    121.5447
  10456.2492    121.4249
  13070.3114    120.9687
  16337.8893    120.1736
  20912.4983    118.8947
  26140.6229    117.3792
ZONE T="time=        5.51 engine buzzsaw noise" I=31 F=POINT
     26.1406     89.1693
     32.6758     89.1693
     41.1715     89.1693
     52.2812     89.1693
     65.3516     89.1693
     82.3430     92.2195
    104.5625     95.3958
    130.7031     98.3961
    163.3789    101.4447
    209.1250    104.9009
    261.4062    108.1327
    326.7578    111.5029
    411.7148    115.1774
    522.8125    117.7473
    653.5156    121.5544
    823.4296    126.2873
   1045.6249    124.4491
   1307.0311    121.8530
   1633.7889    122.3234
   2091.2498    120.6401
   2614.0623    117.6308
   3267.5779    114.6570
   4117.1481    111.6016
   5228.1246    108.4602
   6535.1557    105.5358
   8234.2962    102.5134
  10456.2492     99.3936
  13070.3114     96.4820
  16337.8893     93.5720
  20912.4983     90.3538
  26140.6229     87.4454
ZONE T="time=        5.51  fan harmonics" I=5 F=POINT
   3522.2514    139.1139
   7044.5028    130.0405
  10566.7542    115.8360
  14089.0056    106.8360
  17611.2571     97.8360
##########################################
# retarded time	=      5.5845
# source time	=      0.6000
# speed of sound=    342.4281
# xpos	=  -1654.8000
# ypos	=      0.1000
# alt	=    419.4000
# xobs  =      0.0000
# yobs  =      0.0000
# zobs  =      1.2000
# phix  =     33.2164
# phiy  =      0.0000
# dist  =   1706.8258
# distxy=   1654.8000
# vel   =     86.0000
# n1    =     89.8685
##########################################
ZONE T="time=        5.58 airframe broadband" I=31 F=POINT
     26.1247    100.8389
     32.6558    101.8080
     41.1463    102.8118
     52.2493    103.8492
     65.3116    104.8183
     82.2927    105.8221
    104.4986    106.8595
    130.6233    107.8286
    163.2791    108.7977
    208.9972    109.1321
    261.2465    109.1761
    326.5582    108.9110
    411.4633    108.1038
    522.4931    107.0663
    653.1163    106.0972
    822.9266    105.0935
   1044.9861    104.0560
   1306.2327    103.0869
   1632.7908    102.1178
   2089.9723    101.0457
   2612.4653    100.0766
   3265.5816     99.1075
   4114.6329     98.1038
   5224.9306     97.0663
   6531.1633     96.0972
   8229.2657     95.0935
  10449.8613     94.0560
  13062.3266     93.0869
  16327.9082     92.1178
  20899.7225     91.0457
  26124.6532     90.0766
ZONE T="time=        5.58 engine broadband (no buzzsaw)" I=31 F=POINT
     26.1247    116.5711
     32.6558    116.5711
     41.1463    116.5711
     52.2493    116.5711
     65.3116    116.5711
     82.2927    117.5110
    104.4986    118.2978
    130.6233    118.8557
    163.2791    119.2244
    208.9972    119.4703
    261.2465    119.4797
    326.5582    119.3731
    411.4633    119.0917
    522.4931    118.5570
    653.1163    117.9448
    822.9266    117.3188
   1044.9861    116.6869
   1306.2327    116.2436
   1632.7908    116.1866
   2089.9723    116.7424
   2612.4653    117.6910
   3265.5816    118.7883
   4114.6329    119.8627
   5224.9306    120.7552
   6531.1633    121.3045
   8229.2657    121.5463
  10449.8613    121.4265
  13062.3266    120.9703
  16327.9082    120.1753
  20899.7225    118.8965
  26124.6532    117.3811
ZONE T="time=        5.58 engine buzzsaw noise" I=31 F=POINT
     26.1247     89.2615
     32.6558     89.2615
     41.1463     89.2615
     52.2493     89.2615
     65.3116     89.2615
     82.2927     92.3116
    104.4986     95.4879
    130.6233     98.4879
    163.2791    101.5363
    208.9972    104.9920
    261.2465    108.2231
    326.5582    111.5926
    411.4633    115.2661
    522.4931    117.8326
    653.1163    121.6376
    822.9266    126.3700
   1044.9861    124.5336
   1306.2327    121.9368
   1632.7908    122.4065
   2089.9723    120.7242
   2612.4653    117.7150
   3265.5816    114.7411
   4114.6329    111.6857
   5224.9306    108.5443
   6531.1633    105.6199
   8229.2657    102.5975
  10449.8613     99.4777
  13062.3266     96.5661
  16327.9082     93.6561
  20899.7225     90.4379
  26124.6532     87.5295
ZONE T="time=        5.58  fan harmonics" I=5 F=POINT
   3520.2678    139.1068
   7040.5357    130.0695
  10560.8035    115.8344
  14081.0714    106.8344
  17601.3392     97.8344
##########################################
# retarded time	=      5.7554
# source time	=      0.8000
# speed of sound=    342.4259
# xpos	=  -1644.2000
# ypos	=      0.1000
# alt	=    420.6000
# xobs  =      0.0000
# yobs  =      0.0000
# zobs  =      1.2000
# phix  =     33.3434
# phiy  =      0.0000
# dist  =   1696.8471
# distxy=   1644.2000
# vel   =     86.0000
# n1    =     89.8725
##########################################
ZONE T="time=        5.76 airframe broadband" I=31 F=POINT
     26.1179    100.8343
     32.6473    101.8034
     41.1357    102.8071
     52.2358    103.8446
     65.2947    104.8137
     82.2713    105.8174
    104.4715    106.8549
    130.5894    107.8240
    163.2367    108.7931
    208.9430    109.1275
    261.1788    109.1715
    326.4735    108.9063
    411.3566    108.0991
    522.3575    107.0616
    652.9469    106.0925
    822.7131    105.0888
   1044.7151    104.0513
   1305.8938    103.0822
   1632.3673    102.1131
   2089.4301    101.0410
   2611.7876    100.0719
   3264.7345     99.1028
   4113.5655     98.0991
   5223.5753     97.0616
   6529.4691     96.0925
   8227.1310     95.0888
  10447.1505     94.0513
  13058.9381     93.0822
  16323.6727     92.1131
  20894.3010     91.0410
  26117.8763     90.0719
ZONE T="time=        5.76 engine broadband (no buzzsaw)" I=31 F=POINT
     26.1179    116.5753
     32.6473    116.5753
     41.1357    116.5753
     52.2358    116.5753
     65.2947    116.5753
     82.2713    117.5153
    104.4715    118.3021
    130.5894    118.8601
    163.2367    119.2289
    208.9430    119.4748
    261.1788    119.4842
    326.4735    119.3777
    411.3566    119.0964
    522.3575    118.5617
    652.9469    117.9495
    822.7131    117.3234
   1044.7151    116.6913
   1305.8938    116.2475
   1632.3673    116.1897
   2089.4301    116.7444
   2611.7876    117.6922
   3264.7345    118.7889
   4113.5655    119.8631
   5223.5753    120.7554
   6529.4691    121.3047
   8227.1310    121.5466
  10447.1505    121.4268
  13058.9381    120.9706
  16323.6727    120.1757
  20894.3010    118.8969
  26117.8763    117.3816
ZONE T="time=        5.76 engine buzzsaw noise" I=31 F=POINT
     26.1179     89.3016
     32.6473     89.3016
     41.1357     89.3016
     52.2358     89.3016
     65.2947     89.3016
     82.2713     92.3516
    104.4715     95.5277
    130.5894     98.5276
    163.2367    101.5757
    208.9430    105.0309
    261.1788    108.2615
    326.4735    111.6302
    411.3566    115.3028
    522.3575    117.8662
    652.9469    121.6693
    822.7131    126.4012
   1044.7151    124.5664
   1305.8938    121.9691
   1632.3673    122.4382
   2089.4301    120.7568
   2611.7876    117.7475
   3264.7345    114.7737
   4113.5655    111.7182
   5223.5753    108.5768
   6529.4691    105.6524
   8227.1310    102.6301
  10447.1505     99.5103
  13058.9381     96.5987
  16323.6727     93.6886
  20894.3010     90.4704
  26117.8763     87.5620
ZONE T="time=        5.76  fan harmonics" I=5 F=POINT
   3519.5099    139.1029
   7039.0198    130.0809
  10558.5298    115.8328
  14078.0397    106.8328
  17597.5496     97.8328
##########################################
# retarded time	=      5.8261
# source time	=      0.9000
# speed of sound=    342.4234
# xpos	=  -1633.5000
# ypos	=      0.1000
# alt	=    421.9000
# xobs  =      0.0000
# yobs  =      0.0000
# zobs  =      1.2000
# phix  =     33.5688
# phiy  =      0.0000
# dist  =   1686.8049
# distxy=   1633.5000
# vel   =     86.0000
# n1    =     89.8768
##########################################
ZONE T="time=        5.83 airframe broadband" I=31 F=POINT
     26.1057    100.8260
     32.6321    101.7951
     41.1165    102.7988
     52.2114    103.8363
     65.2643    104.8054
     82.2330    105.8091
    104.4229    106.8466
    130.5286    107.8157
    163.1607    108.7848
    208.8457    109.1192
    261.0572    109.1632
    326.3214    108.8980
    411.1650    108.0908
    522.1143    107.0533
    652.6429    106.0842
    822.3300    105.0805
   1044.2286    104.0430
   1305.2858    103.0739
   1631.6072    102.1048
   2088.4572    101.0327
   2610.5715    100.0636
   3263.2144     99.0945
   4111.6501     98.0908
   5221.1430     97.0533
   6526.4288     96.0842
   8223.3002     95.0805
  10442.2860     94.0430
  13052.8575     93.0739
  16316.0719     92.1048
  20884.5720     91.0327
  26105.7151     90.0636
ZONE T="time=        5.83 engine broadband (no buzzsaw)" I=31 F=POINT
     26.1057    116.5824
     32.6321    116.5824
     41.1165    116.5824
     52.2114    116.5824
     65.2643    116.5824
     82.2330    117.5223
    104.4229    118.3092
    130.5286    118.8673
    163.1607    119.2360
    208.8457    119.4819
    261.0572    119.4914
    326.3214    119.3849
    411.1650    119.1036
    522.1143    118.5690
    652.6429    117.9567
    822.3300    117.3305
   1044.2286    116.6980
   1305.2858    116.2536
   1631.6072    116.1946
   2088.4572    116.7479
   2610.5715    117.6946
   3263.2144    118.7906
   4111.6501    119.8644
   5221.1430    120.7565
   6526.4288    121.3058
   8223.3002    121.5476
  10442.2860    121.4279
  13052.8575    120.9717
  16316.0719    120.1769
  20884.5720    118.8982
  26105.7151    117.3829
ZONE T="time=        5.83 engine buzzsaw noise" I=31 F=POINT
     26.1057     89.3713
     32.6321     89.3713
     41.1165     89.3713
     52.2114     89.3713
     65.2643     89.3713
     82.2330     92.4213
    104.4229     95.5973
    130.5286     98.5969
    163.1607    101.6447
    208.8457    105.0995
    261.0572    108.3295
    326.3214    111.6974
    411.1650    115.3690
    522.1143    117.9291
    652.6429    121.7299
    822.3300    126.4614
   1044.2286    124.6284
   1305.2858    122.0305
   1631.6072    122.4988
   2088.4572    120.8184
   2610.5715    117.8091
   3263.2144    114.8353
   4111.6501    111.7798
   5221.1430    108.6384
   6526.4288    105.7140
   8223.3002    102.6916
  10442.2860     99.5719
  13052.8575     96.6603
  16316.0719     93.7502
  20884.5720     90.5320
  26105.7151     87.6236
ZONE T="time=        5.83  fan harmonics" I=5 F=POINT
   3518.0392    139.0971
   7036.0785    130.1022
  10554.1177    115.8311
  14072.1570    106.8311
  17590.1962     97.8311
##########################################
# retarded time	=      5.8968
# source time	=      1.0000
# speed of sound=    342.4209
# xpos	=  -1622.8000
# ypos	=      0.1000
# alt	=    423.2000
# xobs  =      0.0000
# yobs  =      0.0000
# zobs  =      1.2000
# phix  =     33.4393
# phiy  =      0.0000
# dist  =   1676.7719
# distxy=   1622.8000
# vel   =     86.0000
# n1    =     89.8811
##########################################
ZONE T="time=        5.90 airframe broadband" I=31 F=POINT
     26.1128    100.8305
     32.6410    101.7996
     41.1277    102.8033
     52.2256    103.8408
     65.2820    104.8099
     82.2554    105.8136
    104.4513    106.8511
    130.5641    107.8202
    163.2051    108.7893
    208.9025    109.1237
    261.1282    109.1677
    326.4102    108.9025
    411.2769    108.0953
    522.2564    107.0579
    652.8204    106.0888
    822.5538    105.0850
   1044.5127    104.0476
   1305.6409    103.0785
   1632.0511    102.1094
   2089.0254    101.0373
   2611.2818    100.0682
   3264.1022     99.0991
   4112.7688     98.0953
   5222.5636     97.0579
   6528.2045     96.0888
   8225.5376     95.0850
  10445.1271     94.0476
  13056.4089     93.0785
  16320.5111     92.1094
  20890.2543     91.0373
  26112.8178     90.0682
ZONE T="time=        5.90 engine broadband (no buzzsaw)" I=31 F=POINT
     26.1128    116.5793
     32.6410    116.5793
     41.1277    116.5793
     52.2256    116.5793
     65.2820    116.5793
     82.2554    117.5195
    104.4513    118.3066
    130.5641    118.8648
    163.2051    119.2337
    208.9025    119.4799
    261.1282    119.4895
    326.4102    119.3831
    411.2769    119.1022
    522.2564    118.5677
    652.8204    117.9554
    822.5538    117.3293
   1044.5127    116.6969
   1305.6409    116.2524
   1632.0511    116.1932
   2089.0254    116.7461
   2611.2818    117.6926
   3264.1022    118.7885
   4112.7688    119.8622
   5222.5636    120.7544
   6528.2045    121.3037
   8225.5376    121.5456
  10445.1271    121.4259
  13056.4089    120.9699
  16320.5111    120.1751
  20890.2543    118.8965
  26112.8178    117.3813
ZONE T="time=        5.90 engine buzzsaw noise" I=31 F=POINT
     26.1128     89.3346
     32.6410     89.3346
     41.1277     89.3346
     52.2256     89.3346
     65.2820     89.3346
     82.2554     92.3845
    104.4513     95.5603
    130.5641     98.5598
    163.2051    101.6073
    208.9025    105.0616
    261.1282    108.2910
    326.4102    111.6581
    411.2769    115.3287
    522.2564    117.8855
    652.8204    121.6842
    822.5538    126.4151
   1044.5127    124.5839
   1305.6409    121.9853
   1632.0511    122.4530
   2089.0254    120.7736
   2611.2818    117.7643
   3264.1022    114.7905
   4112.7688    111.7350
   5222.5636    108.5936
   6528.2045    105.6692
   8225.5376    102.6468
  10445.1271     99.5270
  13056.4089     96.6154
  16320.5111     93.7054
  20890.2543     90.4871
  26112.8178     87.5788
ZONE T="time=        5.90  fan harmonics" I=5 F=POINT
   3519.1646    139.0976
   7038.3292    130.0873
  10557.4937    115.8291
  14076.6583    106.8291
  17595.8229     97.8291
##########################################
# retarded time	=      5.9675
# source time	=      1.1000
# speed of sound=    342.4187
# xpos	=  -1612.1000
# ypos	=      0.1000
# alt	=    424.4000
# xobs  =      0.0000
# yobs  =      0.0000
# zobs  =      1.2000
# phix  =     33.5718
# phiy  =      0.0000
# dist  =   1666.7227
# distxy=   1612.1000
# vel   =     86.0000
# n1    =     89.8851
##########################################
ZONE T="time=        5.97 airframe broadband" I=31 F=POINT
     26.1057    100.8256
     32.6321    101.7947
     41.1164    102.7984
     52.2114    103.8359
     65.2642    104.8050
     82.2329    105.8087
    104.4227    106.8462
    130.5284    107.8153
    163.1605    108.7844
    208.8454    109.1188
    261.0568    109.1628
    326.3210    108.8976
    411.1644    108.0904
    522.1136    107.0529
    652.6419    106.0838
    822.3289    105.0801
   1044.2271    104.0426
   1305.2839    103.0735
   1631.6049    102.1044
   2088.4542    101.0323
   2610.5678    100.0632
   3263.2097     99.0941
   4111.6443     98.0904
   5221.1356     97.0529
   6526.4195     96.0838
   8223.2885     95.0801
  10442.2712     94.0426
  13052.8389     93.0735
  16316.0487     92.1044
  20884.5423     91.0323
  26105.6779     90.0632
ZONE T="time=        5.97 engine broadband (no buzzsaw)" I=31 F=POINT
     26.1057    116.5837
     32.6321    116.5837
     41.1164    116.5837
     52.2114    116.5837
     65.2642    116.5837
     82.2329    117.5239
    104.4227    118.3111
    130.5284    118.8694
    163.1605    119.2384
    208.8454    119.4846
    261.0568    119.4943
    326.3210    119.3879
    411.1644    119.1070
    522.1136    118.5726
    652.6419    117.9603
    822.3289    117.3341
   1044.2271    116.7015
   1305.2839    116.2565
   1631.6049    116.1964
   2088.4542    116.7482
   2610.5678    117.6939
   3263.2097    118.7892
   4111.6443    119.8627
   5221.1356    120.7547
   6526.4195    121.3040
   8223.2885    121.5459
  10442.2712    121.4263
  13052.8389    120.9702
  16316.0487    120.1756
  20884.5423    118.8970
  26105.6779    117.3819
ZONE T="time=        5.97 engine buzzsaw noise" I=31 F=POINT
     26.1057     89.3764
     32.6321     89.3764
     41.1164     89.3764
     52.2114     89.3764
     65.2642     89.3764
     82.2329     92.4261
    104.4227     95.6019
    130.5284     98.6011
    163.1605    101.6484
    208.8454    105.1022
    261.0568    108.3310
    326.3210    111.6974
    411.1644    115.3671
    522.1136    117.9208
    652.6419    121.7175
    822.3289    126.4480
   1044.2271    124.6184
   1305.2839    122.0193
   1631.6049    122.4863
   2088.4542    120.8078
   2610.5678    117.7985
   3263.2097    114.8247
   4111.6443    111.7692
   5221.1356    108.6278
   6526.4195    105.7034
   8223.2885    102.6810
  10442.2712     99.5612
  13052.8389     96.6496
  16316.0487     93.7395
  20884.5423     90.5213
  26105.6779     87.6130
ZONE T="time=        5.97  fan harmonics" I=5 F=POINT
   3518.3575    139.0935
   7036.7151    130.0992
  10555.0726    115.8275
  14073.4301    106.8275
  17591.7876     97.8275
##########################################
# retarded time	=      6.0383
# source time	=      1.2000
# speed of sound=    342.4162
# xpos	=  -1601.4000
# ypos	=      0.1000
# alt	=    425.7000
# xobs  =      0.0000
# yobs  =      0.0000
# zobs  =      1.2000
# phix  =     33.8801
# phiy  =      0.0000
# dist  =   1656.7082
# distxy=   1601.4000
# vel   =     86.0000
# n1    =     89.8893
##########################################
ZONE T="time=        6.04 airframe broadband" I=31 F=POINT
     26.0888    100.8141
     32.6110    101.7833
     41.0899    102.7870
     52.1777    103.8244
     65.2221    104.7936
     82.1798    105.7973
    104.3553    106.8347
    130.4442    107.8038
    163.0552    108.7730
    208.7107    109.1074
    260.8884    109.1514
    326.1105    108.8862
    410.8992    108.0790
    521.7767    107.0415
    652.2209    106.0724
    821.7983    105.0687
   1043.5534    104.0312
   1304.4418    103.0621
   1630.5523    102.0930
   2087.1069    101.0209
   2608.8836    100.0518
   3261.1045     99.0827
   4108.9917     98.0790
   5217.7672     97.0415
   6522.2090     96.0724
   8217.9834     95.0687
  10435.5344     94.0312
  13044.4180     93.0621
  16305.5226     92.0930
  20871.0689     91.0209
  26088.8361     90.0518
ZONE T="time=        6.04 engine broadband (no buzzsaw)" I=31 F=POINT
     26.0888    116.5932
     32.6110    116.5932
     41.0899    116.5932
     52.1777    116.5932
     65.2221    116.5932
     82.1798    117.5334
    104.3553    118.3205
